Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,5/26/2023,8,188.56
2,137,301,1/23/2023,10,216.6
3,216,261,5/27/2024,6,85.5
4,433,343,11/25/2023,7,301.21
5,14,431,7/26/2023,7,136.36
6,439,119,10/11/2024,5,249.4
7,195,467,10/23/2023,6,82.92
8,32,159,5/7/2024,4,144.84
9,109,407,1/4/2024,9,379.71
10,94,122,7/9/2024,4,123
11,131,206,10/16/2023,1,38.01
12,454,3,6/17/2024,2,31.5
13,420,180,6/8/2023,5,125.45
14,454,319,8/24/2023,2,85.22
15,127,479,1/10/2023,6,229.62
16,412,196,10/6/2023,8,53.52
17,462,481,3/20/2023,5,52.75
18,377,101,8/7/2024,4,193.96
19,496,60,11/17/2023,9,316.26
20,195,67,7/14/2023,1,10.23
21,356,287,12/5/2024,3,120.57
22,177,427,6/10/2024,3,54
23,119,301,8/4/2023,3,64.98
24,266,192,7/10/2023,3,145.11
25,265,250,5/25/2023,10,126.5
26,294,407,6/11/2023,1,42.19
27,310,156,12/3/2024,1,31.68
28,151,423,11/27/2024,8,205.04
29,305,446,10/5/2023,8,275.92
30,438,248,9/23/2023,6,281.94
31,386,279,3/12/2024,8,244
32,292,313,12/6/2024,4,188.64
33,478,253,4/15/2024,5,58.3
34,463,146,6/27/2024,3,43.5
35,303,172,7/8/2023,5,184.1
36,417,260,1/21/2024,9,446.31
37,110,411,12/27/2023,4,60.12
38,15,466,6/26/2023,4,148.68
39,488,422,8/3/2024,8,367.28
40,120,450,7/3/2024,2,91.5
41,418,147,5/5/2024,8,361.6
42,415,70,9/19/2023,3,70.35
43,199,305,3/25/2024,7,221.62
44,234,460,7/24/2024,5,179.4
45,470,67,11/16/2024,4,40.92
46,319,442,12/8/2023,1,48.48
47,6,360,7/23/2024,3,148.02
48,458,477,2/25/2024,5,138.55
49,322,336,8/14/2024,7,168.56
50,474,88,4/6/2024,1,40.22
51,155,491,9/1/2024,5,74.35
52,173,161,5/20/2024,7,151.2
53,160,242,1/2/2024,3,101.37
54,446,393,9/1/2024,3,132
55,18,281,1/11/2024,7,114.38
56,76,333,11/6/2024,5,138.8
57,24,34,12/2/2024,2,32.98
58,329,369,12/2/2024,7,158.55
59,225,188,2/11/2023,7,140.98
60,404,49,4/26/2023,9,445.5
61,405,361,7/2/2024,5,198.75
62,364,324,4/6/2024,5,230.4
63,16,469,4/13/2024,9,209.25
64,348,160,7/19/2024,10,344.8
65,54,198,5/6/2023,9,201.42
66,180,323,9/8/2023,8,286.64
67,260,129,4/20/2023,9,366.66
68,246,319,3/21/2023,10,426.1
69,261,109,3/23/2024,4,34.16
70,49,447,5/29/2023,6,217.5
71,500,438,6/11/2024,8,267.12
72,290,5,10/19/2024,1,10.95
73,411,81,10/7/2023,1,44.19
74,461,132,4/8/2023,10,204.6
75,291,375,11/30/2023,5,170.75
76,470,466,9/2/2024,10,371.7
77,497,242,3/20/2024,7,236.53
78,44,196,7/23/2024,5,33.45
79,134,28,10/6/2023,2,75.02
80,265,17,6/4/2023,8,42.96
81,383,325,2/13/2024,5,202
82,413,387,3/8/2023,5,237.1
83,457,335,1/16/2024,8,378.32
84,280,49,7/5/2024,6,297
85,75,31,3/14/2023,9,191.07
86,361,441,4/28/2024,3,122.16
87,167,435,7/11/2024,2,55.52
88,126,262,4/16/2023,5,105.1
89,305,113,8/6/2024,2,12.76
90,457,137,12/23/2023,6,157.98
91,226,142,10/13/2024,10,489.6
92,329,325,2/24/2023,5,202
93,366,427,10/23/2024,3,54
94,136,88,7/6/2024,6,241.32
95,447,426,10/26/2023,1,32.82
96,456,336,8/9/2023,8,192.64
97,408,221,7/15/2023,10,248.1
98,429,352,12/15/2023,1,6.01
99,166,250,4/20/2023,3,37.95
100,207,63,7/14/2023,1,22.38
101,154,344,1/9/2023,1,39.63
102,295,300,5/10/2023,9,241.83
103,103,21,2/7/2024,3,141.39
104,182,316,1/18/2024,9,79.29
105,125,306,12/20/2022,2,87.84
106,334,449,10/7/2023,3,120.51
107,10,330,10/20/2024,6,192.12
108,281,430,5/25/2024,6,71.4
109,486,368,11/19/2024,2,89.2
110,7,16,4/30/2023,1,10.07
111,174,450,8/25/2024,7,320.25
112,309,403,12/28/2022,2,30.02
113,80,255,2/18/2024,3,73.53
114,362,210,2/24/2024,3,122.79
115,321,136,9/23/2024,8,79.12
116,280,447,2/27/2024,5,181.25
117,385,52,1/24/2023,7,115.71
118,37,189,1/14/2023,3,40.95
119,328,148,9/24/2023,3,36.75
120,101,338,1/14/2023,1,10.17
121,27,63,3/28/2024,6,134.28
122,136,56,2/19/2023,6,47.22
123,495,437,3/10/2024,5,221.45
124,272,122,5/17/2024,10,307.5
125,196,43,6/5/2024,4,189.56
126,88,492,12/8/2023,2,88.14
127,267,295,8/24/2024,7,200.62
128,197,345,9/17/2024,6,155.34
129,364,388,8/2/2023,1,26.62
130,420,17,5/13/2023,1,5.37
131,16,1,5/27/2024,3,64.02
132,469,333,11/22/2023,7,194.32
133,232,458,3/13/2023,4,149.12
134,94,222,4/2/2023,7,207.13
135,174,99,1/24/2024,10,469.3
136,165,70,12/31/2023,4,93.8
137,474,471,11/25/2023,8,363.04
138,59,362,12/2/2023,3,88.29
139,189,26,5/31/2024,9,189.45
140,295,164,12/13/2022,1,41.83
141,107,352,5/5/2023,10,60.1
142,107,434,4/8/2024,2,91.16
143,443,201,10/4/2023,7,260.75
144,432,179,11/10/2024,2,96.42
145,340,477,9/10/2024,8,221.68
146,394,404,4/7/2024,4,62.6
147,277,285,10/8/2024,5,138.25
148,333,429,6/16/2024,1,42.58
149,39,56,11/28/2024,4,31.48
150,389,135,1/1/2024,10,151.3
151,361,288,8/27/2024,7,195.37
152,377,213,10/27/2023,5,33.95
153,484,370,2/19/2024,2,87.82
154,378,391,10/12/2023,5,167.1
155,191,397,1/21/2024,6,168.9
156,176,66,5/27/2024,5,141.45
157,166,245,5/24/2024,10,160.6
158,183,225,7/4/2023,3,108.12
159,174,51,9/11/2024,3,138.9
160,255,85,3/27/2023,3,58.29
161,227,42,1/13/2024,5,241.75
162,295,298,5/21/2023,7,326.62
163,207,384,11/23/2023,3,101.76
164,467,184,6/27/2024,9,47.25
165,382,362,9/23/2024,6,176.58
166,272,486,9/17/2023,6,114.78
167,168,442,11/24/2024,3,145.44
168,324,36,1/11/2023,10,345.1
169,81,415,2/4/2024,10,295.1
170,121,77,5/6/2023,10,442.8
171,364,397,1/12/2023,10,281.5
172,463,423,9/20/2024,1,25.63
173,399,61,7/1/2023,5,205.25
174,34,29,12/17/2023,4,124.48
175,385,103,10/12/2023,1,43.25
176,86,479,9/19/2023,6,229.62
177,378,121,8/21/2024,3,127.41
178,70,298,5/3/2023,10,466.6
179,325,52,2/1/2023,9,148.77
180,460,227,1/20/2023,7,267.19
181,8,117,1/18/2023,3,44.61
182,129,293,11/1/2023,7,125.51
183,335,371,6/8/2024,1,17.4
184,474,88,4/30/2024,2,80.44
185,15,25,3/9/2023,6,51.3
186,167,120,4/3/2023,7,336.21
187,119,275,12/30/2023,1,25.83
188,46,425,3/13/2023,1,24.23
189,107,240,7/11/2024,6,299.4
190,240,273,7/2/2024,4,49.72
191,418,390,3/25/2024,1,39.96
192,144,380,6/24/2024,2,26.34
193,474,36,3/31/2023,7,241.57
194,463,340,11/4/2024,5,249.9
195,437,241,7/17/2023,2,28.12
196,214,468,4/3/2023,7,214.13
197,256,32,5/25/2024,10,215.6
198,373,117,6/13/2023,1,14.87
199,429,18,9/30/2024,10,394.7
200,313,303,11/23/2023,1,6.57
201,67,463,10/11/2023,4,47.96
202,137,69,12/17/2023,8,70.32
203,116,110,12/27/2023,4,120.6
204,47,427,5/26/2023,3,54
205,279,457,3/21/2023,2,56.44
206,81,130,7/19/2023,1,6.64
207,194,461,9/6/2023,1,9.6
208,13,101,5/21/2024,6,290.94
209,346,449,1/3/2024,10,401.7
210,287,223,10/14/2023,6,39.12
211,397,209,1/17/2024,10,486.7
212,244,300,4/20/2024,2,53.74
213,325,447,11/17/2023,7,253.75
214,103,114,9/4/2024,7,50.96
215,461,138,8/17/2023,8,198.16
216,104,428,2/28/2024,4,90.92
217,414,142,12/28/2022,2,97.92
218,364,47,2/13/2024,8,162.96
219,186,157,2/11/2024,9,172.53
220,376,275,7/7/2023,1,25.83
221,353,219,9/10/2023,5,104.5
222,331,157,9/19/2023,10,191.7
223,213,31,12/17/2022,10,212.3
224,384,90,7/19/2024,4,66.24
225,272,115,6/8/2023,4,112.48
226,437,35,1/25/2024,9,286.29
227,461,308,5/4/2023,8,166
228,400,104,6/7/2024,3,31.68
229,82,482,2/9/2024,7,223.72
230,307,241,9/10/2023,7,98.42
231,22,384,11/11/2023,1,33.92
232,220,229,7/26/2024,5,102.3
233,403,181,4/28/2024,7,271.11
234,149,11,11/21/2024,5,179.75
235,419,459,11/12/2024,3,107.31
236,375,265,11/4/2024,9,419.4
237,47,199,8/15/2023,7,299.67
238,134,280,2/26/2024,6,100.68
239,132,307,9/19/2023,5,72.15
240,457,492,5/30/2023,10,440.7
241,119,69,7/8/2024,6,52.74
242,416,410,6/15/2023,9,398.97
243,82,350,8/2/2024,10,316.7
244,12,380,10/28/2024,3,39.51
245,386,97,11/1/2023,9,411.66
246,401,415,11/14/2024,2,59.02
247,77,142,3/7/2024,10,489.6
248,312,285,9/9/2023,9,248.85
249,131,189,1/15/2023,8,109.2
250,63,65,9/16/2023,9,204.3
251,109,490,12/12/2023,2,25.76
252,405,387,11/15/2023,5,237.1
253,449,273,1/3/2023,3,37.29
254,99,469,7/18/2023,2,46.5
255,217,406,4/19/2023,4,143.16
256,225,174,5/30/2024,9,340.47
257,123,403,11/6/2023,1,15.01
258,179,387,8/8/2023,3,142.26
259,437,77,1/8/2023,2,88.56
260,112,170,5/7/2024,2,22.56
261,200,288,7/25/2023,8,223.28
262,224,376,12/11/2022,6,175.56
263,260,373,8/20/2024,2,78.18
264,290,13,10/29/2023,9,126.36
265,258,100,9/17/2024,9,449.01
266,167,426,6/2/2023,10,328.2
267,467,390,8/30/2024,9,359.64
268,117,56,11/15/2024,9,70.83
269,8,157,3/15/2024,5,95.85
270,120,82,4/13/2024,7,319.9
271,462,40,7/1/2023,1,25.97
272,228,321,11/2/2024,1,24.32
273,357,119,12/14/2022,8,399.04
274,254,120,4/10/2024,2,96.06
275,495,31,1/5/2023,2,42.46
276,166,46,11/16/2024,3,99.51
277,276,292,12/18/2022,1,26.94
278,111,71,11/18/2024,9,346.5
279,204,339,11/13/2024,9,391.59
280,181,377,5/11/2023,8,318.32
281,23,431,11/23/2024,8,155.84
282,364,154,11/22/2024,6,104.64
283,277,471,10/31/2024,8,363.04
284,325,466,1/6/2023,4,148.68
285,198,469,7/30/2024,6,139.5
286,96,264,4/23/2023,2,41.02
287,74,163,6/25/2023,3,57.33
288,6,128,11/13/2023,1,24.04
289,321,491,8/30/2023,2,29.74
290,31,219,8/18/2024,2,41.8
291,214,154,4/15/2024,8,139.52
292,388,432,2/11/2024,4,35.36
293,96,214,1/20/2024,9,163.44
294,21,302,10/1/2023,4,114.68
295,414,269,10/7/2024,5,165.4
296,181,486,9/13/2023,1,19.13
297,382,381,7/27/2024,4,42.4
298,359,73,8/22/2024,10,212.3
299,189,348,7/29/2024,8,100.96
300,90,485,12/9/2023,7,162.12
301,339,346,9/12/2024,4,39.88
302,348,80,2/29/2024,6,209.04
303,423,31,8/12/2023,6,127.38
304,59,229,2/6/2024,9,184.14
305,107,266,12/18/2023,4,133.16
306,54,316,11/28/2024,4,35.24
307,368,133,11/17/2023,1,20.96
308,499,485,2/19/2023,10,231.6
309,185,227,12/29/2022,8,305.36
310,338,334,10/5/2023,3,107.04
311,198,80,3/5/2024,7,243.88
312,209,208,4/23/2023,10,250
313,57,105,10/11/2023,8,240.16
314,449,127,3/9/2024,1,11.66
315,281,119,3/22/2023,8,399.04
316,329,198,6/30/2024,7,156.66
317,400,88,1/6/2023,10,402.2
318,353,84,1/31/2024,8,356.72
319,172,296,6/27/2024,2,22.98
320,376,363,4/5/2024,8,59.84
321,114,386,8/5/2023,8,50.88
322,270,112,11/8/2023,2,16.04
323,36,412,6/27/2023,6,58.98
324,306,214,1/31/2023,7,127.12
325,60,394,7/10/2023,1,27.15
326,16,149,6/15/2024,6,102.54
327,247,409,7/11/2024,2,43.12
328,232,3,1/19/2024,3,47.25
329,171,171,9/23/2023,5,160.75
330,265,65,1/10/2023,10,227
331,429,143,7/15/2023,1,43.65
332,41,113,7/25/2023,2,12.76
333,161,407,10/8/2024,1,42.19
334,193,339,3/1/2024,6,261.06
335,184,334,6/5/2023,7,249.76
336,141,371,6/23/2023,9,156.6
337,230,455,12/6/2023,5,135.15
338,165,486,1/13/2023,2,38.26
339,374,491,3/21/2024,10,148.7
340,460,222,3/2/2023,8,236.72
341,26,333,9/6/2024,2,55.52
342,178,462,8/24/2023,1,49.23
343,75,124,1/3/2023,7,189.7
344,385,218,11/25/2023,5,26.8
345,325,253,7/4/2023,2,23.32
346,122,240,3/10/2024,8,399.2
347,2,118,2/23/2023,3,16.56
348,239,158,3/19/2023,7,172.83
349,159,73,4/15/2023,2,42.46
350,458,154,2/9/2024,6,104.64
351,425,219,2/26/2023,8,167.2
352,178,436,3/19/2023,7,111.3
353,14,360,8/3/2023,5,246.7
354,388,225,7/28/2024,2,72.08
355,437,443,10/23/2023,6,264.3
356,384,102,6/1/2024,3,120.66
357,163,150,7/6/2023,9,287.55
358,474,45,1/30/2023,8,203.92
359,301,378,8/23/2023,6,36.06
360,177,442,1/23/2024,2,96.96
361,415,448,7/27/2023,6,37.56
362,242,292,7/29/2024,3,80.82
363,153,91,3/4/2023,2,55.64
364,357,38,5/12/2024,9,148.23
365,301,200,2/28/2023,7,69.72
366,425,231,3/8/2024,6,56.22
367,497,309,4/4/2023,5,58.7
368,17,488,5/17/2023,10,491.5
369,339,156,12/9/2022,1,31.68
370,462,295,2/4/2024,4,114.64
371,149,120,3/23/2024,4,192.12
372,290,57,1/21/2023,3,70.77
373,428,47,10/25/2024,9,183.33
374,418,64,4/28/2024,9,216.9
375,115,58,7/19/2023,3,103.62
376,360,320,3/2/2023,7,35.49
377,194,208,12/3/2023,5,125
378,203,105,9/25/2024,1,30.02
379,313,135,6/21/2023,7,105.91
380,465,491,9/18/2024,3,44.61
381,485,377,7/22/2023,8,318.32
382,492,333,8/14/2024,1,27.76
383,145,8,4/4/2023,3,146.97
384,304,369,6/26/2024,7,158.55
385,379,110,7/18/2024,9,271.35
386,226,52,5/5/2023,5,82.65
387,344,236,7/20/2024,4,43.12
388,125,232,8/4/2023,6,57.72
389,485,391,11/18/2023,2,66.84
390,94,73,10/1/2023,10,212.3
391,30,330,5/20/2023,8,256.16
392,336,212,7/4/2024,1,18.69
393,279,307,12/24/2022,8,115.44
394,299,425,4/14/2024,1,24.23
395,159,443,5/27/2024,9,396.45
396,59,424,4/9/2023,6,243
397,368,73,1/19/2023,6,127.38
398,273,334,7/21/2023,9,321.12
399,318,393,12/27/2022,9,396
400,239,33,4/5/2024,10,350.6
401,154,475,12/6/2023,1,47.76
402,199,323,12/25/2022,8,286.64
403,98,398,11/17/2024,10,334.1
404,457,191,10/2/2024,10,421.9
405,405,149,5/1/2024,5,85.45
406,438,78,2/17/2023,10,130.7
407,121,156,4/14/2024,4,126.72
408,485,299,12/13/2023,4,112.76
409,184,303,9/7/2024,6,39.42
410,364,462,12/1/2024,5,246.15
411,486,208,10/29/2023,8,200
412,24,103,6/16/2024,5,216.25
413,158,314,7/12/2023,3,28.77
414,23,234,11/10/2023,1,7.15
415,336,10,7/7/2023,1,24.63
416,149,211,12/29/2023,1,16.19
417,222,254,3/29/2024,4,170.28
418,153,372,12/4/2023,2,35.46
419,330,313,5/15/2023,3,141.48
420,102,415,10/3/2024,1,29.51
421,56,183,4/1/2023,5,77
422,322,176,12/25/2023,8,128.88
423,11,349,1/10/2024,5,221.8
424,291,118,1/16/2024,7,38.64
425,98,308,2/14/2023,6,124.5
426,98,33,2/18/2024,5,175.3
427,287,434,9/11/2023,7,319.06
428,214,175,2/16/2023,10,328.5
429,449,146,11/1/2023,7,101.5
430,206,26,7/26/2024,2,42.1
431,68,276,9/22/2024,1,19.85
432,420,168,11/4/2023,3,42.39
433,37,223,3/1/2023,6,39.12
434,45,83,10/20/2023,10,89.4
435,13,230,4/14/2023,8,48.8
436,224,412,6/17/2024,1,9.83
437,183,360,10/31/2023,6,296.04
438,304,434,8/16/2024,2,91.16
439,346,419,5/20/2023,3,27.84
440,195,343,8/31/2023,9,387.27
441,269,168,3/18/2024,8,113.04
442,57,129,5/20/2023,8,325.92
443,425,108,4/30/2024,10,253.8
444,155,5,12/12/2022,7,76.65
445,21,384,4/16/2024,8,271.36
446,485,380,9/18/2023,3,39.51
447,379,422,8/5/2023,1,45.91
448,115,38,11/21/2024,1,16.47
449,490,222,11/18/2023,1,29.59
450,451,288,5/18/2023,8,223.28
451,87,307,8/4/2023,10,144.3
452,100,412,7/13/2024,1,9.83
453,22,418,4/19/2023,8,255.04
454,386,186,6/14/2024,8,330.64
455,84,409,10/31/2023,2,43.12
456,331,125,2/19/2024,5,162.05
457,387,147,3/17/2024,10,452
458,160,127,2/19/2023,6,69.96
459,163,422,8/17/2024,10,459.1
460,445,237,5/24/2023,2,80.86
461,317,196,11/18/2023,9,60.21
462,22,282,11/24/2024,3,114.57
463,174,279,7/6/2024,5,152.5
464,392,463,12/20/2022,1,11.99
465,337,414,1/16/2023,7,157.85
466,498,273,12/7/2024,7,87.01
467,390,273,7/22/2023,10,124.3
468,162,237,11/22/2023,6,242.58
469,158,97,1/1/2024,6,274.44
470,349,232,10/30/2024,8,76.96
471,79,7,12/13/2022,5,218.15
472,145,136,8/7/2023,6,59.34
473,353,75,6/19/2024,1,47.11
474,194,138,3/24/2023,9,222.93
475,284,161,3/2/2023,7,151.2
476,387,379,4/2/2023,5,28.5
477,162,454,5/30/2023,7,66.92
478,423,350,8/2/2024,4,126.68
479,328,197,12/26/2023,7,301.21
480,415,146,6/21/2023,7,101.5
481,405,353,7/7/2023,10,469.7
482,2,429,8/31/2024,7,298.06
483,459,202,11/23/2023,10,122.6
484,500,274,8/31/2023,6,292.8
485,140,230,2/4/2023,5,30.5
486,322,110,4/26/2023,2,60.3
487,102,245,12/23/2023,7,112.42
488,47,18,5/23/2023,4,157.88
489,211,471,2/22/2023,5,226.9
490,173,93,2/15/2023,9,156.87
491,425,72,10/14/2023,10,465.4
492,284,120,4/28/2024,10,480.3
493,475,19,11/4/2024,1,11.31
494,117,127,11/23/2024,2,23.32
495,216,497,3/31/2023,3,72.3
496,53,233,9/28/2024,6,62.34
497,328,272,4/25/2023,10,51.6
498,152,406,3/10/2024,2,71.58
499,140,48,8/26/2023,1,24.7
500,297,137,6/17/2024,5,131.65
